best_parsec_conservative
1.00000000 0.00218276
0.99990240 0.00219315
0.99960965 0.00222440
0.99912187 0.00227687
0.99843923 0.00235112
0.99756201 0.00244792
0.99649055 0.00256824
0.99522527 0.00271327
0.99376666 0.00288433
0.99211529 0.00308293
0.99027181 0.00331068
0.98823693 0.00356934
0.98601146 0.00386071
0.98359625 0.00418669
0.98099226 0.00454919
0.97820049 0.00495011
0.97522205 0.00539136
0.97205808 0.00587476
0.96870983 0.00640207
0.96517860 0.00697492
0.96146578 0.00759481
0.95757281 0.00826307
0.95350121 0.00898083
0.94925257 0.00974903
0.94482855 0.01056835
0.94023087 0.01143922
0.93546134 0.01236179
0.93052181 0.01333596
0.92541421 0.01436129
0.92014053 0.01543706
0.91470284 0.01656225
0.90910326 0.01773550
0.90334397 0.01895517
0.89742722 0.02021931
0.89135532 0.02152567
0.88513065 0.02287171
0.87875562 0.02425464
0.87223274 0.02567141
0.86556454 0.02711874
0.85875363 0.02859312
0.85180267 0.03009088
0.84471437 0.03160818
0.83749150 0.03314104
0.83013688 0.03468540
0.82265338 0.03623710
0.81504392 0.03779196
0.80731148 0.03934579
0.79945906 0.04089441
0.79148974 0.04243370
0.78340663 0.04395962
0.77521288 0.04546825
0.76691169 0.04695582
0.75850630 0.04841870
0.75000000 0.04985348
0.74139610 0.05125696
0.73269797 0.05262617
0.72390899 0.05395840
0.71503260 0.05525122
0.70607227 0.05650247
0.69703149 0.05771027
0.68791379 0.05887307
0.67872273 0.05998960
0.66946191 0.06105889
0.66013493 0.06208028
0.65074543 0.06305339
0.64129709 0.06397813
0.63179358 0.06485468
0.62223863 0.06568348
0.61263595 0.06646520
0.60298931 0.06720073
0.59330246 0.06789118
0.58357918 0.06853780
0.57382328 0.06914202
0.56403856 0.06970537
0.55422884 0.07022951
0.54439795 0.07071615
0.53454972 0.07116704
0.52468801 0.07158395
0.51481666 0.07196865
0.50493953 0.07232285
0.49506047 0.07264822
0.48518334 0.07294633
0.47531199 0.07321863
0.46545028 0.07346647
0.45560205 0.07369102
0.44577116 0.07389330
0.43596144 0.07407414
0.42617672 0.07423419
0.41642082 0.07437388
0.40669754 0.07449346
0.39701069 0.07459295
0.38736405 0.07467216
0.37776137 0.07473069
0.36820642 0.07476795
0.35870291 0.07478315
0.34925457 0.07477530
0.33986507 0.07474325
0.33053809 0.07468568
0.32127727 0.07460115
0.31208621 0.07448807
0.30296851 0.07434477
0.29392773 0.07416949
0.28496740 0.07396041
0.27609101 0.07371567
0.26730203 0.07343342
0.25860390 0.07311180
0.25000000 0.07274901
0.24149370 0.07234329
0.23308831 0.07189297
0.22478712 0.07139651
0.21659337 0.07085247
0.20851026 0.07025956
0.20054094 0.06961667
0.19268852 0.06892286
0.18495608 0.06817738
0.17734662 0.06737969
0.16986312 0.06652948
0.16250850 0.06562665
0.15528563 0.06467131
0.14819733 0.06366383
0.14124637 0.06260479
0.13443546 0.06149499
0.12776726 0.06033546
0.12124438 0.05912743
0.11486935 0.05787234
0.10864468 0.05657180
0.10257278 0.05522761
0.09665603 0.05384172
0.09089674 0.05241621
0.08529716 0.05095329
0.07985947 0.04945526
0.07458579 0.04792451
0.06947819 0.04636345
0.06453866 0.04477457
0.05976913 0.04316034
0.05517145 0.04152323
0.05074743 0.03986566
0.04649879 0.03819003
0.04242719 0.03649863
0.03853422 0.03479369
0.03482140 0.03307730
0.03129017 0.03135146
0.02794192 0.02961801
0.02477795 0.02787865
0.02179951 0.02613492
0.01900774 0.02438819
0.01640375 0.02263966
0.01398854 0.02089039
0.01176307 0.01914121
0.00972819 0.01739284
0.00788471 0.01564580
0.00623334 0.01390045
0.00477473 0.01215702
0.00350945 0.01041559
0.00243799 0.00867612
0.00156077 0.00693847
0.00087813 0.00520238
0.00039035 0.00346753
0.00009760 0.00173355
0.00000100 0.00017547
0.00009760 -0.00193543
0.00039035 -0.00386302
0.00087813 -0.00577502
0.00156077 -0.00766378
0.00243799 -0.00952186
0.00350945 -0.01134204
0.00477473 -0.01311743
0.00623334 -0.01484150
0.00788471 -0.01650811
0.00972819 -0.01811160
0.01176307 -0.01964680
0.01398854 -0.02110908
0.01640375 -0.02249438
0.01900774 -0.02379924
0.02179951 -0.02502081
0.02477795 -0.02615687
0.02794192 -0.02720587
0.03129017 -0.02816686
0.03482140 -0.02903957
0.03853422 -0.02982435
0.04242719 -0.03052215
0.04649879 -0.03113454
0.05074743 -0.03166365
0.05517145 -0.03211215
0.05976913 -0.03248320
0.06453866 -0.03278044
0.06947819 -0.03300792
0.07458579 -0.03317004
0.07985947 -0.03327155
0.08529716 -0.03331745
0.09089674 -0.03331294
0.09665603 -0.03326339
0.10257278 -0.03317425
0.10864468 -0.03305102
0.11486935 -0.03289920
0.12124438 -0.03272418
0.12776726 -0.03253125
0.13443546 -0.03232553
0.14124637 -0.03211190
0.14819733 -0.03189498
0.15528563 -0.03167908
0.16250850 -0.03146814
0.16986312 -0.03126576
0.17734662 -0.03107509
0.18495608 -0.03089888
0.19268852 -0.03073941
0.20054094 -0.03059850
0.20851026 -0.03047749
0.21659337 -0.03037728
0.22478712 -0.03029825
0.23308831 -0.03024036
0.24149370 -0.03020310
0.25000000 -0.03018553
0.25860390 -0.03018631
0.26730203 -0.03020371
0.27609101 -0.03023564
0.28496740 -0.03027972
0.29392773 -0.03033327
0.30296851 -0.03039336
0.31208621 -0.03045689
0.32127727 -0.03052058
0.33053809 -0.03058105
0.33986507 -0.03063486
0.34925457 -0.03067852
0.35870291 -0.03070861
0.36820642 -0.03072174
0.37776137 -0.03071465
0.38736405 -0.03068421
0.39701069 -0.03062752
0.40669754 -0.03054185
0.41642082 -0.03042477
0.42617672 -0.03027412
0.43596144 -0.03008804
0.44577116 -0.02986501
0.45560205 -0.02960387
0.46545028 -0.02930381
0.47531199 -0.02896438
0.48518334 -0.02858554
0.49506047 -0.02816758
0.50493953 -0.02771119
0.51481666 -0.02721740
0.52468801 -0.02668761
0.53454972 -0.02612353
0.54439795 -0.02552720
0.55422884 -0.02490093
0.56403856 -0.02424730
0.57382328 -0.02356912
0.58357918 -0.02286939
0.59330246 -0.02215130
0.60298931 -0.02141814
0.61263595 -0.02067333
0.62223863 -0.01992033
0.63179358 -0.01916262
0.64129709 -0.01840368
0.65074543 -0.01764692
0.66013493 -0.01689570
0.66946191 -0.01615324
0.67872273 -0.01542262
0.68791379 -0.01470673
0.69703149 -0.01400830
0.70607227 -0.01332978
0.71503260 -0.01267341
0.72390899 -0.01204115
0.73269797 -0.01143471
0.74139610 -0.01085547
0.75000000 -0.01030455
0.75850630 -0.00978277
0.76691169 -0.00929062
0.77521288 -0.00882834
0.78340663 -0.00839586
0.79148974 -0.00799284
0.79945906 -0.00761867
0.80731148 -0.00727251
0.81504392 -0.00695327
0.82265338 -0.00665969
0.83013688 -0.00639029
0.83749150 -0.00614345
0.84471437 -0.00591742
0.85180267 -0.00571035
0.85875363 -0.00552030
0.86556454 -0.00534530
0.87223274 -0.00518333
0.87875562 -0.00503242
0.88513065 -0.00489061
0.89135532 -0.00475599
0.89742722 -0.00462676
0.90334397 -0.00450122
0.90910326 -0.00437778
0.91470284 -0.00425502
0.92014053 -0.00413167
0.92541421 -0.00400662
0.93052181 -0.00387899
0.93546134 -0.00374803
0.94023087 -0.00361325
0.94482855 -0.00347432
0.94925257 -0.00333112
0.95350121 -0.00318372
0.95757281 -0.00303239
0.96146578 -0.00287756
0.96517860 -0.00271986
0.96870983 -0.00256003
0.97205808 -0.00239897
0.97522205 -0.00223771
0.97820049 -0.00207737
0.98099226 -0.00191914
0.98359625 -0.00176429
0.98601146 -0.00161410
0.98823693 -0.00146990
0.99027181 -0.00133299
0.99211529 -0.00120463
0.99376666 -0.00108607
0.99522527 -0.00097845
0.99649055 -0.00088285
0.99756201 -0.00080023
0.99843923 -0.00073143
0.99912187 -0.00067716
0.99960965 -0.00063799
0.99990240 -0.00061432
1.00000000 -0.00060641
